,0,1,2
0,"('instruction', 'Quand a été fondée Karmine Corp ?')","('input', '')","('response', '30 mars 2020 (Kameto Corp)  16 novembre 2020 (Karmine Corp)')"
1,"('instruction', 'Quels sont les sigles utilisés pour désigner Karmine Corp ?')","('input', '')","('response', 'KCorp, KC')"
2,"('instruction', ""Quels sont les domaines d'activité de Karmine Corp ?"")","('input', '')","('response', 'League of Legends, Teamfight Tactics, Rocket League, Valorant, Fortnite, Tekken 8, Street Fighter 6, autres activités récréatives et de loisirs')"
3,"('instruction', 'Où est situé le siège de Karmine Corp ?')","('input', '')","('response', 'Tours (de jure)  Paris (de facto)')"
4,"('instruction', 'Qui sont les fondateurs de Karmine Corp ?')","('input', '')","('response', 'Kameto, Kotei (d), Prime')"
5,"('instruction', 'Qui est le président actuel de Karmine Corp ?')","('input', 'Karmine Corp')","('response', 'Kameto (depuis 2021)')"
6,"('instruction', 'Quels sont les sponsors de Karmine Corp ?')","('input', '')","('response', 'Fitness Park, Logitech, Michelin, Orange, Samsung Electronics, NZXT (en), Red Bull, Ekwateur, Crédit industriel et commercial, Celio')"
7,"('instruction', ""Quel est l'identifiant SIREN de Karmine Corp ?"")","('input', '')","('response', '8905751')"
8,"('instruction', 'Quel est le site web de Karmine Corp ?')","('input', '')","('response', 'www.karminecorp.fr')"
9,"('instruction', 'Quelle section de jeu a été créée par la structure ?')","('input', '')","('response', 'League of Legends')"
10,"('instruction', 'Quels titres la structure a-t-elle remportés en 2021 ?')","('input', '')","('response', ""Championne des segments de printemps et d'été 2021, premier titre à trois reprises et réalisation d'un triplé"")"
11,"('instruction', 'Quel événement annuel est organisé par la structure ?')","('input', '')","('response', 'Karmine Corp Experience (KCX)')"
12,"('instruction', ""Quand Kamel « Kameto » Kebir a-t-il annoncé la création de sa structure d'e-sport ?"")","('input', 'Nom de la structure (Kameto Corp)')","('response', 'Le 30 mars 2020')"
13,"('instruction', ""Quels sont les jeux sur lesquels la Kameto Corp s'est fait connaître ?"")","('input', 'Noms des jeux (Teamfight Tactics (TFT), TrackMania)')","('response', 'Teamfight Tactics et TrackMania')"
14,"('instruction', ""Avec qui Kamel « Kameto » Kebir a-t-il créé sa structure d'e-sport?"")","('input', 'Nom du co-fondateur (Zouhair « Kotei » Darji)')","('response', 'Zouhair « Kotei » Darji')"
15,"('instruction', 'Quels ont été les joueurs de la Kameto Corp qui ont remporté les mondiaux sur Teamfight Tactics (TFT)?')","('input', 'Nom du joueur (Emre « Double61 » Demirtas)')","('response', 'Emre « Double61 » Demirtas')"
16,"('instruction', 'Quels joueur de la Kameto Corp ont remporté un titre de champions du monde sur TrackMania?')","('input', 'Noms des joueurs (Brendan « Bren » Seve, Youen « Otaaaq » Egler)')","('response', 'Brendan « Bren » Seve et Youen « Otaaaq » Egler')"
17,"('instruction', 'Qui a rejoint le duo en novembre 2020 comme cofondateur?')","('input', 'novembre 2020')","('response', 'Amine « Prime » Mekri')"
18,"('instruction', ""Quel est le nom de la structure renommée après l'arrivée d'Amine « Prime » Mekri en tant que cofondateur?"")","('input', 'Karmine Corp')","('response', 'Karmine Corp')"
19,"('instruction', ""Quelle ligue la Karmine Corp a-t-elle rejoint pour la saison suivante après l'arrivée d'Amine « Prime » Mekri?"")","('input', 'Ligue française de League of Legends (LFL)')","('response', 'Ligue française de League of Legends (LFL)')"
20,"('instruction', 'Quelle compétition européenne la Karmine Corp a-t-elle remportée en 2021 après être passée de la deuxième division à la première division?')","('input', 'EMEA Masters')","('response', 'EMEA Masters')"
21,"('instruction', ""Combien de fois la Karmine Corp a-t-elle remporté le championnat européen au segment d'été?"")","('input', 'Deux fois')","('response', 'Deux fois')"
22,"('instruction', 'Quel record la Karmine Corp a-t-elle battu au segment de printemps 2022?')","('input', 'Trois fois en triplé')","('response', 'Trois fois en triplé')"
23,"('instruction', 'Quelle équipe a remporté la ligue française et les EMEA Masters en 2023 ?')","('input', None)","('response', ""l'équipe a remporté la ligue française et les EMEA Masters en 2023."")"
24,"('instruction', 'Quel accord la section League of Legends a-t-elle signé en 2023 ?')","('input', None)","('response', ""La section League of Legends a signé un accord afin d'acquérir la place de l'équipe danoise Astralis."")"
25,"('instruction', 'Quelle ligue la section League of Legends a-t-elle rejoint en 2023 ?')","('input', None)","('response', 'La section League of Legends a rejoint les League of Legends EMEA Championship (LEC).')"
26,"('instruction', ""Où la structure a-t-elle établi des locaux en fin d'année 2023 ?"")","('input', None)","('response', 'La structure a établi des locaux à Berlin.')"
27,"('instruction', ""Quel est le nom de l'événement organisé par la structure en 2021?"")","('input', '2021')","('response', 'Le premier Karmine Corp Experience (KCX)')"
28,"('instruction', ""Où s'est déroulée la deuxième édition du KCX en 2022?"")","('input', '2022')","('response', 'Au Palais omnisports de Paris-Bercy')"
29,"('instruction', 'Combien de spectateurs ont assisté au KCX3 en 2023?')","('input', '2023')","('response', 'Plus de 28 000 spectateurs')"
30,"('instruction', 'Où le club devient-il résident en 2024?')","('input', '2024')","('response', ""Aux Arènes de l'Agora"")"
