,0,1,2
0,"('instruction', 'Quelle est la date de fondation de Karmine Corp ?')","('input', '')","('response', '30 mars 2020 (Kameto Corp) 16 novembre 2020 (Karmine Corp)')"
1,"('instruction', 'Quels sont les sigles utilisés pour désigner Karmine Corp ?')","('input', '')","('response', 'KCorp, KC')"
2,"('instruction', 'Quel est le type de Karmine Corp ?')","('input', '')","('response', 'Club esportif')"
3,"('instruction', 'Où est situé le siège de Karmine Corp ?')","('input', '')","('response', 'Tours (de jure) Paris (de facto)')"
4,"('instruction', 'Qui sont les fondateurs de Karmine Corp ?')","('input', '')","('response', 'Kameto, Kotei (d), Prime')"
5,"('instruction', 'Qui est le président de Karmine Corp depuis 2021 ?')","('input', '')","('response', 'Kameto')"
6,"('instruction', 'Quels sont les sponsors de Karmine Corp ?')","('input', '')","('response', 'Fitness Park, Logitech, Michelin, Orange, Samsung Electronics, NZXT (en), Red Bull, Ekwateur, Crédit industriel et commercial, Celio')"
7,"('instruction', 'Quel est le site web de Karmine Corp ?')","('input', '')","('response', 'www.karminecorp.fr')"
8,"('instruction', 'Quand a été formée Karmine Corp ?')","('input', 'Nom de la structure')","('response', 'Karmine Corp a été formée le 30 mars 2020.')"
9,"('instruction', 'Qui a formé Karmine Corp ?')","('input', 'Nom de la structure')","('response', 'Karmine Corp a été formée par le duo de streamers Kamel « Kameto » Kebir et Zouhair « Kotei » Darji.')"
10,"('instruction', 'Qui préside Karmine Corp ?')","('input', 'Nom de la structure')","('response', 'Karmine Corp est présidée par Kameto.')"
11,"('instruction', 'Qui a rejoint la direction de Karmine Corp en novembre 2020 ?')","('input', 'Nom de la structure, date')","('response', 'Amine « Prime » Mekri a rejoint la direction de Karmine Corp en novembre 2020.')"
12,"('instruction', ""Où est basée principalement l'entreprise Karmine Corp ?"")","('input', 'Nom de la structure')","('response', ""L'entreprise Karmine Corp est basée principalement à Paris."")"
13,"('instruction', 'Depuis quand dispose-t-elle de locaux à Berlin ?')","('input', 'Nom de la structure, date')","('response', 'Karmine Corp dispose de locaux à Berlin depuis 2023.')"
