,0,1,2
0,"('instruction', 'Quand a été fondé Karmine Corp ?')","('input', '')","('response', '30 mars 2020 (Kameto Corp) 16 novembre 2020 (Karmine Corp)')"
1,"('instruction', ""Quel est le type d'organisation de Karmine Corp ?"")","('input', '')","('response', 'Club esportif')"
2,"('instruction', 'Dans quel pays est situé le siège de Karmine Corp ?')","('input', '')","('response', 'France')"
3,"('instruction', 'Qui sont les fondateurs de Karmine Corp ?')","('input', '')","('response', 'Kameto, Kotei (d), Prime')"
4,"('instruction', 'Qui est le président actuel de Karmine Corp ?')","('input', '')","('response', 'Kameto (depuis 2021)')"
5,"('instruction', ""Quel est le nom de la structure d'esport mentionnée dans le texte ?"")","('input', '')","('response', 'Karmine Corp')"
6,"('instruction', 'Quels sont les jeux sur lesquels la structure Karmine Corp est présente ?')","('input', '')","('response', 'League of Legends, Rocket League, Valorant, Teamfight Tactics, Fortnite, Street Fighter 6 et Tekken 8')"
7,"('instruction', 'Qui a formé la structure sous le nom de Kameto Corp ?')","('input', '')","('response', 'Le duo de streamers francophones Kamel « Kameto » Kebir et Zouhair « Kotei » Darji')"
8,"('instruction', 'Quand la société par actions simplifiée de Karmine Corp a-t-elle été créée ?')","('input', '')","('response', 'Quelques mois après le 30 mars 2020')"
9,"('instruction', 'Qui préside la société par actions simplifiée de Karmine Corp ?')","('input', '')","('response', 'Kameto')"
10,"('instruction', 'Qui a rejoint la direction de Karmine Corp le 16 novembre 2020 ?')","('input', '')","('response', ""L'entrepreneur et rappeur français Amine « Prime » Mekri"")"
11,"('instruction', ""Où est principalement basée l'entreprise Karmine Corp ?"")","('input', '')","('response', 'À Paris')"
12,"('instruction', 'Depuis quand dispose-t-elle de locaux à Berlin ?')","('input', '')","('response', 'Depuis 2023')"
13,"('instruction', ""En quelle année est-elle devenue club résident aux Arènes de l'Agora à Evry-Courcouronnes ?"")","('input', '')","('response', 'En 2024')"
14,"('instruction', ""Quelle section de jeu a été créée par la structure pour débuter dans l'esport?"")","('input', None)","('response', 'League of Legends')"
15,"('instruction', 'Quel titre la structure a-t-elle remporté en 2021 dans la Ligue française de League of Legends?')","('input', 'Segment printanier')","('response', 'Championne')"
16,"('instruction', 'Quelle est la deuxième division européenne où la structure a sécurisé sa place?')","('input', 'EMEA Masters')","('response', 'Les EMEA Masters')"
17,"('instruction', ""Quelles sont les saisons où la structure a remporté des segments dans l'esport?"")","('input', 'printemps et été 2021')","('response', '2021')"
18,"('instruction', 'Combien de fois la structure a remporté le titre de champion à trois reprises?')","('input', None)","('response', 'Trois fois')"
19,"('instruction', 'Quel événement annuel est organisé par la structure pour rassembler des spectateurs?')","('input', 'Karmine Corp Experience (KCX)')","('response', 'Karmine Corp Experience (KCX)')"
20,"('instruction', ""Quelle est l'association dont font partie les ultras de la Karmine Corp ?"")","('input', None)","('response', 'Le Blue Wall')"
21,"('instruction', 'Quelle est la renommée des ultras de la Karmine Corp ?')","('input', None)","('response', ""En France puis à l'international"")"
22,"('instruction', 'Quelle est la structure d\'e-sport créée par Kamel ""Kameto"" Kebir avec Zouhair ""Kotei"" Darji ?')","('input', None)","('response', 'Kameto Corp')"
23,"('instruction', 'Avec qui Kamel ""Kameto"" Kebir remporte-t-il les mondiaux de Teamfight Tactics (TFT) ?')","('input', None)","('response', 'Emre ""Double61"" Demirtas')"
24,"('instruction', 'Quels joueurs remportent un titre de champions du monde sur TrackMania avec Kameto Corp ?')","('input', None)","('response', 'Brendan ""Bren"" Seve et Youen ""Otaaaq"" Egler')"
25,"('instruction', 'Qui a rejoint le duo en novembre 2020 comme cofondateur ?')","('input', 'novembre 2020')","('response', 'Amine « Prime » Mekri')"
26,"('instruction', ""Quelle est la nouvelle appellation de la structure après l'arrivée d'Amine « Prime » Mekri ?"")","('input', 'Karmine Corp')","('response', 'Karmine Corp')"
27,"('instruction', 'Quelle ligue la Karmine Corp a-t-elle rejoint pour la saison suivante ?')","('input', 'LFL')","('response', 'Ligue française de League of Legends (LFL)')"
28,"('instruction', 'Quel championnat la Karmine Corp a-t-elle remporté lors du segment de printemps de la LFL en 2021?')","('input', 'Segment de printemps 2021')","('response', 'segment de printemps de la LFL')"
29,"('instruction', 'Quelle compétition la Karmine Corp a-t-elle remporté après avoir rejoint la première division de la LFL ?')","('input', 'division européenne EMEA Masters')","('response', 'deuxième division européenne EMEA Masters')"
30,"('instruction', 'Combien de fois la Karmine Corp a-t-elle remporté le championnat européen ?')","('input', ""segment d'été"")","('response', 'deux fois')"
31,"('instruction', 'Combien de fois la Karmine Corp a-t-elle remporté le titre au segment de printemps en 2022 ?')","('input', 'printemps 2022')","('response', 'trois fois')"
32,"('instruction', 'Quelle équipe a remporté la ligue française et les EMEA Masters en 2023?')","('input', 'saison 2023')","('response', ""l'équipe a remporté la ligue française et les EMEA Masters en 2023 est mentionnée dans le texte."")"
33,"('instruction', ""Combien de fois l'équipe a remporté les EMEA Masters?"")","('input', None)","('response', ""l'équipe a remporté les EMEA Masters pour la quatrième fois."")"
34,"('instruction', 'Quelle ligue la section League of Legends a-t-elle rejoint en 2023?')","('input', None)","('response', 'la section League of Legends a rejoint la première division européenne, les League of Legends EMEA Championship (LEC).')"
35,"('instruction', ""Avec qui l'équipe a-t-elle signé un accord pour acquérir une place dans les LEC?"")","('input', 'équipe danoise Astralis')","('response', ""l'équipe a signé un accord avec l'équipe danoise Astralis pour acquérir une place dans les LEC."")"
36,"('instruction', 'Où la structure a-t-elle établi des locaux pour développer la section Valorant?')","('input', 'Berlin')","('response', 'la structure a établi des locaux à Berlin pour développer la section Valorant.')"
37,"('instruction', ""Quel est le nom de l'événement organisé par la structure en 2021?"")","('input', None)","('response', 'Le premier Karmine Corp Experience (KCX)')"
38,"('instruction', ""Où s'est déroulée la deuxième édition du KCX en 2022?"")","('input', None)","('response', ""La deuxième édition du KCX en 2022 s'est déroulée au Palais omnisports de Paris-Bercy"")"
39,"('instruction', 'Combien de spectateurs ont assisté au KCX3 en 2023?')","('input', None)","('response', 'Plus de 28 000 spectateurs ont assisté au KCX3 en 2023 à la Paris La Défense Arena')"
40,"('instruction', ""En quelle année le club est devenu résident des Arènes de l'Agora?"")","('input', None)","('response', ""Le club est devenu résident des Arènes de l'Agora en 2024"")"
41,"('instruction', 'Quelle nouvelle équipe du club a pris la place laissée vacante en LFL en 2024?')","('input', None)","('response', 'La nouvelle équipe du club, Karmine Corp Blue')"
42,"('instruction', ""Quelle est la date de création de la structure d'e-sport Kameto Corp?"")","('input', None)","('response', 'Le 30 mars 2020')"
43,"('instruction', 'Qui sont les cinq premiers joueurs de la structure Kameto Corp?')","('input', None)","('response', 'Adam « Adam » Maanane, Philippe « Akabane » Le, Ilias « Nuclearint » Bizriken, Julien « jujutw0 » Izzo et Jérémy « Helaz » François')"
44,"('instruction', 'Quelle est la nouvelle appellation de la structure Kameto Corp?')","('input', None)","('response', 'Karmine Corp')"
45,"('instruction', 'Qui est le seul joueur conservé lors du passage de la Division 2 à la LFL pour la structure Karmine Corp?')","('input', None)","('response', 'Adam « Adam » Maanane')"
46,"('instruction', ""Quelle est la date de l'annonce de l'équipe?"")","('input', None)","('response', 'Le 23 décembre 2020')"
47,"('instruction', 'Qui est le jungler de la Karmine?')","('input', None)","('response', 'Jakub « Cinkrof » Rokicki')"
48,"('instruction', 'Quelle est la nationalité de Jakub « Cinkrof » Rokicki?')","('input', None)","('response', 'polonais')"
49,"('instruction', 'Qui est le mid laner de la Karmine?')","('input', None)","('response', 'Lucas « Saken » Fayard')"
50,"('instruction', 'Quelle équipe Lucas « Saken » Fayard a-t-il joué avant de rejoindre la Karmine?')","('input', 'Team Vitality')","('response', 'Team Vitality')"
51,"('instruction', ""Qui est l'AD Carry de la Karmine?"")","('input', None)","('response', 'Matthew « xMatty » Coombs')"
52,"('instruction', 'Qui est le support de la Karmine?')","('input', None)","('response', 'Raphaël «Targamas » Crabbé')"
53,"('instruction', ""Quelle équipe Raphaël «Targamas » Crabbé a-t-il été champion de France avec l'année précédente?"")","('input', 'Misfits Premier')","('response', 'Misfits Premier')"
54,"('instruction', ""Qui est le coach de l'équipe Karmine?"")","('input', None)","('response', 'Yanis « Striker » Kella')"
55,"('instruction', 'Quelle équipe a remporté le championnat ?')","('input', None)","('response', 'La Karmine Corp a remporté le championnat.\n\n-')"
56,"('instruction', 'Quel était le bilan de victoires et défaites de la Karmine Corp au début de la saison ?')","('input', None)","('response', 'La Karmine Corp avait trois victoires pour deux défaites au début de la saison.\n\n-')"
57,"('instruction', 'Contre quelle équipe la Karmine Corp a-t-elle remporté le derby avec des audiences records ?')","('input', None)","('response', 'La Karmine Corp a remporté le derby contre Solary avec des audiences records.\n\n-')"
58,"('instruction', 'Avec quelle équipe la Karmine Corp a fini à égalité en tête du classement de la saison régulière ?')","('input', 'Misfits Premier')","('response', 'La Karmine Corp a fini à égalité en tête du classement de la saison régulière avec Misfits Premier.\n\n-')"
59,"('instruction', 'Qui a remporté le tie-break pour la première place entre la Karmine Corp et Misfits Premier ?')","('input', None)","('response', 'La Karmine Corp a remporté le tie-break pour la première place entre les deux équipes.\n\n-')"
60,"('instruction', 'Combien de rencontres la Karmine Corp a-t-elle perdu au total ?')","('input', None)","('response', 'La Karmine Corp a perdu 3 rencontres au total.\n\n-')"
61,"('instruction', 'Quel était le résultat de la finale du championnat pour la Karmine Corp ?')","('input', None)","('response', 'La Karmine Corp a remporté la finale du championnat avec un score de 3-0.')"
62,"('instruction', 'Qui a remporté la compétition européenne European Masters ?')","('input', '')","('response', 'La Karmine Corp a remporté la compétition européenne European Masters.')"
63,"('instruction', 'Contre qui la Karmine Corp a-t-elle joué en quarts de finale ?')","('input', '')","('response', ""La Karmine Corp a affronté l'équipe serbe des ŠAIM SE SuppUp en quarts de finale."")"
64,"('instruction', 'Qui a été désigné comme le meilleur joueur de la Karmine Corp lors de la demi-finale ?')","('input', '')","('response', 'Le midlaner de la Karmine Corp, Saken, a été désigné comme le meilleur joueur lors de la demi-finale.')"
65,"('instruction', 'Quelle équipe la Karmine Corp a-t-elle battu en finale pour remporter le trophée ?')","('input', '')","('response', 'La Karmine Corp a battu les Anglais de BT Excel en finale pour remporter le trophée.')"
66,"('instruction', 'Quelle reconnaissance spéciale la victoire de la Karmine Corp a-t-elle reçu ?')","('input', '')","('response', 'La victoire de la Karmine Corp a valu les félicitations du président de la République Emmanuel Macron par message privé sur Twitter.')"
67,"('instruction', 'Quel est le score final du match entre la Karmine Corp et Vitality.Bee?')","('input', None)","('response', 'La Karmine Corp a renversé Vitality.Bee avec un score de 3-2.\n    \n-')"
68,"('instruction', 'Quelle équipe était menée 2-0 au début du match?')","('input', None)","('response', 'La Karmine Corp était menée 2-0 au début du match.\n    \n-')"
69,"('instruction', ""Contre qui la Karmine Corp s'est-elle qualifiée pour la finale à Monaco?"")","('input', None)","('response', ""La Karmine Corp s'est qualifiée pour la finale à Monaco contre Misfits Premier.\n    \n-"")"
70,"('instruction', 'Quel événement se déroule juste après la victoire de la Karmine Corp en Coupe de France?')","('input', None)","('response', 'La compétition européenne débute juste après la victoire de la Karmine Corp en Coupe de France.')"
71,"('instruction', 'Quelle équipe a dominé sa poule et le UCAM Esports Club en quarts-de-finale ?')","('input', '')","('response', 'Karmine Corp')"
72,"('instruction', 'Contre quelle équipe la Karmine Corp a-t-elle joué en quarts-de-finale et avec quel résultat ?')","('input', '')","('response', 'UCAM Esports Club, victoire 3-0')"
73,"('instruction', ""Qui a recruté l'ancien jungler de la Kameto Corp en Division 2, Akabane ?"")","('input', '')","('response', 'Berlin International Gaming')"
74,"('instruction', 'Quelle équipe a finalement battu Berlin International Gaming pour se qualifier ?')","('input', '')","('response', 'Karmine Corp')"
75,"('instruction', 'Quelle équipe a éliminé les Misfits Premier en demi-finale ?')","('input', '')","('response', 'Fnatic Rising')"
76,"('instruction', 'Quel était le score dans la finale entre la Karmine Corp et les Fnatic Rising ?')","('input', '')","('response', '3-2, victoire de la Karmine Corp')"
77,"('instruction', 'Quelle équipe a remporté ses seconds European Masters ?')","('input', '')","('response', 'Karmine Corp')"
78,"('instruction', 'Quel est le résultat du dernier match de la Karmine Corp en finale de la Coupe de France en 2021?')","('input', 'none')","('response', 'défaite 3-2 contre Misfits Premier, laissant Misfits Premier repartir avec le titre de meilleure équipe de France en 2021')"
79,"('instruction', 'Quel est le bilan de la Karmine Corp lors de la saison 2021 en LFL?')","('input', 'none')","('response', 'la Karmine Corp a terminé la saison LFL avec un bilan de 14 victoires et 5 défaites')"
80,"('instruction', 'Quel était le score de la Karmine Corp lors de la Coupe de France en 2021 face à Vitality.Bee?')","('input', 'none')","('response', 'la Karmine Corp a remporté le match avec un score final de 3-2')"
81,"('instruction', 'Quel adversaire la Karmine Corp a-t-elle affronté en demi-finale de la Coupe de France en 2021?')","('input', 'none')","('response', ""la Karmine Corp a affronté l'équipe Vitality.Bee en demi-finale de la Coupe de France en 2021"")"
82,"('instruction', ""Qui sont les joueurs qui ont quitté l'équipe lors de la conférence de presse du 15 novembre 2021 ?"")","('input', 'Date de la conférence de presse (15 novembre 2021)')","('response', ""Cinkrof, Targamas et xMatty ont quitté l'équipe lors de la conférence de presse du 15 novembre 2021."")"
83,"('instruction', 'Quel joueur suédois a rejoint la Karmine Corp en provenance de chez G2 Esports ?')","('input', 'Aucune information supplémentaire nécessaire')","('response', 'Martin « Rekkles » Larsson a rejoint la Karmine Corp en provenance de chez G2 Esports.')"
84,"('instruction', 'Combien a coûté le transfert de Martin « Rekkles » Larsson à la Karmine Corp ?')","('input', 'Aucune information supplémentaire nécessaire')","('response', ""Le transfert de Martin « Rekkles » Larsson aurait coûté près d'un million d'euros à la Karmine Corp."")"
85,"('instruction', ""Quels joueurs ont complété le roster de l'équipe après l'arrivée de Martin « Rekkles » Larsson ?"")","('input', 'Aucune information supplémentaire nécessaire')","('response', ""Le roster a été complété par la prolongation d'un an de Cabochard, le maintien de Saken, ainsi que par les arrivées de Jules « Hantera » Bourgeois, Doğukan « 113 » Balcı (aussi surnommé Bumm) et Wao « Wao » Dai comme joueur remplaçant."")"
86,"('instruction', ""Qui a fondé l'équipe e-sport KOI ?"")","('input', 'Aucune')","('response', ""Le streamer espagnol Ibai Llanos et le footballeur Gérard Piqué ont fondé l'équipe e-sport KOI.\n\n-"")"
87,"('instruction', ""Où s'est déroulé le premier match de la Karmine Corp ?"")","('input', 'Aucune')","('response', ""Le premier match de la Karmine Corp s'est déroulé à Barcelone.\n\n-"")"
88,"('instruction', 'Quel est le résultat du premier match entre la Karmine Corp et les KOI ?')","('input', 'Aucune')","('response', 'La Karmine perd 2-1 contre les KOI lors du premier match.\n\n-')"
89,"('instruction', 'Où a eu lieu le match retour entre la Karmine et les KOI ?')","('input', 'Aucune')","('response', 'Le match retour a eu lieu au Carrousel du Louvre à Paris.\n\n-')"
90,"('instruction', 'Quel est le sponsor principal maillot de la Karmine ?')","('input', 'Aucune')","('response', 'Le sponsor principal maillot de la Karmine est Orange.')"
91,"('instruction', 'Quelle équipe a débuté de manière difficile dans le championnat?')","('input', '')","('response', 'La Karmine Corp a débuté de manière difficile dans le championnat, perdant quatre de ses six premiers matchs.')"
92,"('instruction', ""Où s'est déroulée la 4e semaine du championnat?"")","('input', '')","('response', ""La 4e semaine du championnat s'est déroulée à l'Acropolis de Nice."")"
93,"('instruction', 'Contre quelles équipes la Karmine Corp a-t-elle remporté des victoires écrasantes lors de la 4e semaine du championnat?')","('input', '')","('response', 'La Karmine Corp a remporté des victoires écrasantes contre GameWard et Vitality.Bee lors de la 4e semaine du championnat.')"
94,"('instruction', 'Qui a réalisé un Pentakill lors de la 4e semaine du championnat?')","('input', '')","('response', 'Rekkles a réalisé un Pentakill lors de la 4e semaine du championnat.')"
95,"('instruction', 'Où la Karmine Corp a-t-elle terminé à la fin de la saison régulière?')","('input', '')","('response', 'La Karmine Corp a terminé deuxième de la saison régulière.')"
96,"('instruction', 'Quelle équipe a battu la Karmine Corp lors des play-offs de LFL?')","('input', 'play-offs de LFL')","('response', 'LDLC OL et Team BDS Academy ont battu la Karmine Corp lors des play-offs de LFL.')"
97,"('instruction', 'Quelle était la performance de la Karmine Corp lors des play-offs de LFL?')","('input', 'play-offs de LFL')","('response', 'La Karmine Corp a terminé 3e de la saison de LFL.')"
98,"('instruction', ""Qu'est-ce qu'un BO5?"")","('input', None)","('response', 'Un BO5 est un best of 5, où le premier qui gagne trois des cinq parties gagne le match.')"
99,"('instruction', 'Quelle équipe a remporté les Amazon European Masters ?')","('input', 'aucune information supplémentaire nécessaire')","('response', 'Karmine Corp')"
100,"('instruction', ""Quel était le résultat du match en quarts-de-finale entre la KC et l'équipe académique d'Unicorns of Love ?"")","('input', 'aucune information supplémentaire nécessaire')","('response', '3-1 (victoire de la KC)')"
101,"('instruction', 'Contre quelle équipe la KC a-t-elle joué en demi-finale des European Masters ?')","('input', 'aucune information supplémentaire nécessaire')","('response', 'Vitality.Bee')"
