,0,1,2
0,"('instruction', 'Quelle est la date de fondation de Karmine Corp ?')","('input', None)","('response', '30 mars 2020 (Kameto Corp) 16 novembre 2020 (Karmine Corp)')"
1,"('instruction', 'Quels sont les sigles utilisés pour désigner Karmine Corp ?')","('input', None)","('response', 'KCorp, KC')"
2,"('instruction', 'Quel est le type de Karmine Corp ?')","('input', None)","('response', 'Club esportif')"
3,"('instruction', ""Quels sont les domaines d'activité de Karmine Corp ?"")","('input', None)","('response', 'League of Legends, Teamfight Tactics, Rocket League, Valorant, Fortnite, Tekken 8, Street Fighter 6, autres activités récréatives et de loisirs')"
4,"('instruction', 'Où est situé le siège de Karmine Corp ?')","('input', None)","('response', 'Tours (de jure) Paris (de facto)')"
5,"('instruction', 'Qui sont les fondateurs de Karmine Corp ?')","('input', None)","('response', 'Kameto, Kotei (d), Prime')"
6,"('instruction', 'Qui est le président de Karmine Corp depuis 2021 ?')","('input', None)","('response', 'Kameto')"
7,"('instruction', 'Quels sont les sponsors de Karmine Corp ?')","('input', None)","('response', 'Fitness Park, Logitech, Michelin, Orange, Samsung Electronics, NZXT (en), Red Bull, Ekwateur, Crédit industriel et commercial, Celio')"
8,"('instruction', 'Quel est le site web de Karmine Corp ?')","('input', None)","('response', 'www.karminecorp.fr')"
9,"('instruction', ""Quel est le nom de la structure française d'esport mentionnée dans le texte ?"")","('input', None)","('response', 'Karmine Corp')"
10,"('instruction', 'Qui a formé la structure sous le nom de Kameto Corp ?')","('input', None)","('response', 'Le duo de streamers francophones Kamel « Kameto » Kebir et Zouhair « Kotei » Darji')"
11,"('instruction', 'Quand la société par actions simplifiée a-t-elle été créée ?')","('input', None)","('response', 'Quelques mois après le 30 mars 2020')"
12,"('instruction', 'Qui préside la société par actions simplifiée ?')","('input', None)","('response', 'Kameto')"
13,"('instruction', 'Qui a rejoint la direction de la société le 16 novembre 2020 ?')","('input', None)","('response', ""L'entrepreneur et rappeur français Amine « Prime » Mekri"")"
14,"('instruction', ""Où est basée principalement l'entreprise ?"")","('input', None)","('response', 'Paris')"
15,"('instruction', ""Depuis quand l'entreprise dispose-t-elle de locaux à Berlin ?"")","('input', None)","('response', 'Depuis 2023')"
16,"('instruction', ""En quelle année l'entreprise est devenue club résident aux Arènes de l'Agora à Evry-Courcouronnes ?"")","('input', None)","('response', 'En 2024')"
17,"('instruction', ""Quelle section de jeu vidéo a été créée par la structure dans le monde de l'esport ?"")","('input', None)","('response', 'League of Legends')"
18,"('instruction', 'Quels titres la structure a-t-elle remportés en 2021 ?')","('input', None)","('response', ""championne des segments de printemps et d'été 2021"")"
19,"('instruction', 'Quel événement annuel est organisé par la structure pour rassembler des spectateurs ?')","('input', None)","('response', 'Karmine Corp Experience (KCX)')"
20,"('instruction', ""Quelle est l'association à laquelle appartiennent les ultras de la Karmine Corp ?"")","('input', None)","('response', 'Le Blue Wall')"
21,"('instruction', ""Qui a annoncé la création de la structure d'e-sport Kameto Corp ?"")","('input', None)","('response', 'Kamel « Kameto » Kebir')"
22,"('instruction', 'Avec qui Kamel « Kameto » Kebir a-t-il créé la Kameto Corp ?')","('input', 'Zouhair « Kotei » Darji')","('response', 'Zouhair « Kotei » Darji')"
23,"('instruction', 'Quels sont les jeux dans lesquels la Kameto Corp a remporté des titres ?')","('input', 'Teamfight Tactics (TFT) et TrackMania')","('response', 'Teamfight Tactics (TFT) et TrackMania')"
24,"('instruction', 'Quels joueurs ont remporté les mondiaux de Teamfight Tactics (TFT) avec la Kameto Corp ?')","('input', 'Emre « Double61 » Demirtas')","('response', 'Emre « Double61 » Demirtas')"
25,"('instruction', 'Quels joueurs ont remporté un titre de champions du monde sur TrackMania avec la Kameto Corp ?')","('input', 'Brendan « Bren » Seve et Youen « Otaaaq » Egler')","('response', 'Brendan « Bren » Seve et Youen « Otaaaq » Egler')"
26,"('instruction', 'Qui a rejoint le duo en novembre 2020 comme cofondateur ?')","('input', 'novembre 2020')","('response', 'Amine « Prime » Mekri')"
27,"('instruction', ""Quelle est la nouvelle appellation de la structure après l'arrivée d'Amine « Prime » Mekri ?"")","('input', 'Amine « Prime » Mekri')","('response', 'Karmine Corp')"
